text,register
ἔνθ’ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ,narrative
αἰδεῖσθαί θ’ ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα,narrative
ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,narrative
ἀλλὰ κακῶς ἀφίει κρατερὸν δ’ ἐπὶ μῦθον ἔτελλε,narrative
μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω,speech
ἢ νῦν δηθύνοντ’ ἢ ὕστερον αὖτις ἰόντα,speech
μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο,speech
τὴν δ’ ἐγὼ οὐ λύσω πρίν μιν καὶ γῆρας ἔπεισιν,speech
ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης,speech
ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν,speech
ἀλλ’ ἴθι μή μ’ ἐρέθιζε σαώτερος ὥς κε νέηαι,speech
ὣς ἔφατ’ ἔδεισεν δ’ ὃ γέρων καὶ ἐπείθετο μύθῳ,narrative
βῆ δ’ ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης,narrative
πολλὰ δ’ ἔπειτ’ ἀπάνευθε κιὼν ἠρᾶθ’ ὃ γεραιὸς,narrative
Ἀπόλλωνι ἄνακτι τὸν ἠΰκομος τέκε Λητώ,narrative
κλῦθί μευ ἀργυρότοξ’ ὃς Χρύσην ἀμφιβέβηκας,speech
Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,speech
Σμινθεῦ εἴ ποτέ τοι χαρίεντ’ ἐπὶ νηὸν ἔρεψα,speech
ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί’ ἔκηα,speech
ταύρων ἠδ’ αἰγῶν τὸ δέ μοι κρήηνον ἐέλδωρ,speech
τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν,speech
ὣς ἔφατ’ εὐχόμενος τοῦ δ’ ἔκλυε Φοῖβος Ἀπόλλων,narrative
βῆ δὲ κατ’ Οὐλύμποιο καρήνων χωόμενος κῆρ,narrative
τόξ’ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην,narrative
ἔκλαγξαν δ’ ἄρ’ ὀϊστοὶ ἐπ’ ὤμων χωομένοιο,narrative
αὐτοῦ κινηθέντος ὃ δ’ ἤϊε νυκτὶ ἐοικώς,narrative
ἕζετ’ ἔπειτ’ ἀπάνευθε νεῶν μετὰ δ’ ἰὸν ἕηκε,narrative
δεινὴ δὲ κλαγγὴ γένετ’ ἀργυρέοιο βιοῖο,narrative
οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,narrative
αὐτὰρ ἔπειτ’ αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς,narrative
βάλλ’ αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί,narrative
ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,narrative
τῇ δεκάτῃ δ’ ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς,narrative
τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη,narrative
κήδετο γὰρ Δαναῶν ὅτι ῥα θνήσκοντας ὁρᾶτο,narrative
οἳ δ’ ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,narrative
τοῖσι δ’ ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς,narrative
Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω,speech
ἂψ ἀπονοστήσειν εἴ κεν θάνατόν γε φύγοιμεν,speech
εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς Ἀχαιούς,speech
ἀλλ’ ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα,speech
ἢ καὶ ὀνειροπόλον καὶ γάρ τ’ ὄναρ ἐκ Διός ἐστιν,speech
ὅς κ’ εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,speech
εἴτ’ ἄρ’ ὅ γ’ εὐχωλῆς ἐπιμέμφεται ἠδ’ ἑκατόμβης,speech
αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων,speech
βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι,speech
ἤτοι ὅ γ’ ὣς εἰπὼν κατ’ ἄρ’ ἕζετο τοῖσι δ’ ἀνέστη,narrative
Κάλχας Θεστορίδης οἰωνοπόλων ὄχ’ ἄριστος,narrative
ὃς ᾔδη τά τ’ ἐόντα τά τ’ ἐσσόμενα πρό τ’ ἐόντα,narrative
καὶ νήεσσ’ ἡγήσατ’ Ἀχαιῶν Ἴλιον εἴσω,narrative
ἣν διὰ μαντοσύνην τήν οἱ πόρε Φοῖβος Ἀπόλλων,narrative
ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν,narrative
ὦ Ἀχιλεῦ κέλεαί με Διῒ φίλε μυθήσασθαι,speech
μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος,speech
τοὶ γὰρ ἐγὼν ἐρέω σὺ δὲ σύνθεο καί μοι ὄμοσσον,speech
ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν,speech
ἦ γὰρ ὀΐομαι ἄνδρα χολωσέμεν ὃς μέγα πάντων,speech
Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί,speech
κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηϊ,speech
εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,speech
ἀλλά τε καὶ μετόπισθεν ἔχει κότον ὄφρα τελέσσῃ,speech
ἐν στήθεσσιν ἑοῖσι σὺ δὲ φράσαι εἴ με σαώσεις,speech
τὸν δ’ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς,narrative
θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα,speech
οὐ μὰ γὰρ Ἀπόλλωνα Διῒ φίλον ᾧ τε σὺ Κάλχαν,speech
εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις,speech
οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο,speech
σοὶ κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει,speech
συμπάντων Δαναῶν οὐδ’ ἢν Ἀγαμέμνονα εἴπῃς,speech
ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι,speech
καὶ τότε δὴ θάρσησε καὶ ηὔδα μάντις ἀμύμων,narrative
οὔτ’ ἄρ ὅ γ’ εὐχωλῆς ἐπιμέμφεται οὐδ’ ἑκατόμβης,speech
ἀλλ’ ἕνεκ’ ἀρητῆρος ὃν ἠτίμησ’ Ἀγαμέμνων,speech
οὐδ’ ἀπέλυσε θύγατρα καὶ οὐκ ἀπεδέξατ’ ἄποινα,speech
τοὔνεκ’ ἄρ’ ἄλγε’ ἔδωκεν ἑκηβόλος ἠδ’ ἔτι δώσει,speech
οὐδ’ ὅ γε πρὶν Δαναοῖσιν ἀεικέα λοιγὸν ἀπώσει,speech
πρίν γ’ ἀπὸ πατρὶ φίλῳ δόμεναι ἑλικώπιδα κούρην,speech
ἀπριάτην ἀνάποινον ἄγειν θ’ ἱερὴν ἑκατόμβην,speech
ἐς Χρύσην τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν,speech
ἤτοι ὅ γ’ ὣς εἰπὼν κατ’ ἄρ’ ἕζετο τοῖσι δ’ ἀνέστη,narrative
ἥρως Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων,narrative
ἀχνύμενος μένεος δὲ μέγα φρένες ἀμφιμέλαιναι,narrative
πίμπλαντ’ ὄσσε δέ οἱ πυρὶ λαμπετόωντι ἐΐκτην,narrative
Κάλχαντα πρώτιστα κάκ’ ὀσσόμενος προσέειπε,narrative
μάντι κακῶν οὐ πώ ποτέ μοι τὸ κρήγυον εἶπας,speech
αἰεί τοι τὰ κάκ’ ἐστὶ φίλα φρεσὶ μαντεύεσθαι,speech
ἐσθλὸν δ’ οὔτέ τί πω εἶπας ἔπος οὔ τ’ ἐτέλεσσας,speech
καὶ νῦν ἐν Δαναοῖσι θεοπροπέων ἀγορεύεις,speech
ὡς δὴ τοῦδ’ ἕνεκά σφιν ἑκηβόλος ἄλγεα τεύχει,speech
οὕνεκ’ ἐγὼ κούρης Χρυσηΐδος ἀγλά’ ἄποινα,speech
οὐκ ἔθελον δέξασθαι ἐπεὶ πολὺ βούλομαι αὐτὴν,speech
οἴκοι ἔχειν καὶ γάρ ῥα Κλυταιμνήστρης προβέβουλα,speech
κουριδίης ἀλόχου ἐπεὶ οὔ ἑθέν ἐστι χερείων,speech
οὐ δέμας οὐδὲ φυήν οὔτ’ ἂρ φρένας οὔτέ τι ἔργα,speech
ἀλλὰ καὶ ὧς ἐθέλω δόμεναι πάλιν εἰ τό γ’ ἄμεινον,speech
βούλομ’ ἐγὼ λαὸν σῶν ἔμμεναι ἢ ἀπολέσθαι,speech
αὐτὰρ ἐμοὶ γέρας αὐτίχ’ ἑτοιμάσατ’ ὄφρα μὴ οἶος,speech
Ἀργείων ἀγέραστος ἔω ἐπεὶ οὐδὲ ἔοικε,speech
λεύσσετε γὰρ τό γε πάντες ὅ μοι γέρας ἔρχεται ἄλλῃ,speech
τὸν δ’ ἠμείβετ’ ἔπειτα ποδάρκης δῖος Ἀχιλλεύς,narrative
Ἀτρεΐδη κύδιστε φιλοκτεανώτατε πάντων,speech
πῶς γάρ τοι δώσουσι γέρας μεγάθυμοι Ἀχαιοί,speech
οὐδέ τί που ἴδμεν ξυνήϊα κείμενα πολλά,speech
ἀλλὰ τὰ μὲν πολίων ἐξεπράθομεν τὰ δέδασται,speech
λαοὺς δ’ οὐκ ἐπέοικε παλίλλογα ταῦτ’ ἐπαγείρειν,speech
ἀλλὰ σὺ μὲν νῦν τήνδε θεῷ πρόες αὐτὰρ Ἀχαιοὶ,speech
τριπλῇ τετραπλῇ τ’ ἀποτείσομεν αἴ κέ ποθι Ζεὺς,speech
δῷσι πόλιν Τροίην εὐτείχεον ἐξαλαπάξαι,speech
τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων,narrative
μὴ δ’ οὕτως ἀγαθός περ ἐὼν θεοείκελ’ Ἀχιλλεῦ,speech
κλέπτε νόῳ ἐπεὶ οὐ παρελεύσεαι οὐδέ με πείσεις,speech
ἦ ἐθέλεις ὄφρ’ αὐτὸς ἔχῃς γέρας αὐτὰρ ἔμ’ αὔτως,speech
ἧσθαι δευόμενον κέλεαι δέ με τήνδ’ ἀποδοῦναι,speech
ἀλλ’ εἰ μὲν δώσουσι γέρας μεγάθυμοι Ἀχαιοὶ,speech
ἄρσαντες κατὰ θυμὸν ὅπως ἀντάξιον ἔσται,speech
εἰ δέ κε μὴ δώωσιν ἐγὼ δέ κεν αὐτὸς ἕλωμαι,speech
ἢ τεὸν ἢ Αἴαντος ἰὼν γέρας ἢ Ὀδυσῆος,speech
ἄξω ἑλών ὃ δέ κεν κεχολώσεται ὅν κεν ἵκωμαι,speech
ἀλλ’ ἤτοι μὲν ταῦτα μεταφρασόμεσθα καὶ αὖτις,speech
νῦν δ’ ἄγε νῆα μέλαιναν ἐρύσσομεν εἰς ἅλα δῖαν,speech
ἐν δ’ ἐρέτας ἐπιτηδὲς ἀγείρομεν ἐς δ’ ἑκατόμβην,speech
θείομεν ἂν δ’ αὐτὴν Χρυσηΐδα καλλιπάρῃον,speech
βήσομεν εἷς δέ τις ἀρχὸς ἀνὴρ βουληφόρος ἔστω,speech
ἢ Αἴας ἢ Ἰδομενεὺς ἢ δῖος Ὀδυσσεὺς,speech
ἠὲ σὺ Πηλεΐδη πάντων ἐκπαγλότατ’ ἀνδρῶν,speech
ὄφρ’ ἥμιν ἑκάεργον ἱλάσσεαι ἱερὰ ῥέξας,speech
τὸν δ’ ἄρ’ ὑπόδρα ἰδὼν προσέφη πόδας ὠκὺς Ἀχιλλεύς,narrative
ὤ μοι ἀναιδείην ἐπιειμένε κερδαλεόφρον,speech
πῶς τίς τοι πρόφρων ἔπεσιν πείθηται Ἀχαιῶν,speech
ἢ ὁδὸν ἐλθέμεναι ἢ ἀνδράσιν ἶφι μάχεσθαι,speech
οὐ γὰρ ἐγὼ Τρώων ἕνεκ’ ἤλυθον αἰχμητάων,speech
δεῦρο μαχησόμενος ἐπεὶ οὔ τί μοι αἴτιοί εἰσιν,speech
οὐ γὰρ πώποτ’ ἐμὰς βοῦς ἤλασαν οὐδὲ μὲν ἵππους,speech
οὐδέ ποτ’ ἐν Φθίῃ ἐριβώλακι βωτιανείρῃ,speech
καρπὸν ἐδηλήσαντ’ ἐπεὶ ἦ μάλα πολλὰ μεταξὺ,speech
οὔρεά τε σκιόεντα θάλασσά τε ἠχήεσσα,speech
ἀλλὰ σοὶ ὦ μέγ’ ἀναιδὲς ἅμ’ ἑσπόμεθ’ ὄφρα σὺ χαίρῃς,speech
τιμὴν ἀρνύμενοι Μενελάῳ σοί τε κυνῶπα,speech
πρὸς Τρώων τῶν οὔ τι μετατρέπῃ οὐδ’ ἀλεγίζεις,speech
καὶ δή μοι γέρας αὐτὸς ἀφαιρήσεσθαι ἀπειλεῖς,speech
ᾧ ἔπι πολλὰ μόγησα δόσαν δέ μοι υἷες Ἀχαιῶν,speech
οὐ μὲν σοί ποτε ἶσον ἔχω γέρας ὁππότ’ Ἀχαιοὶ,speech
Τρώων ἐκπέρσωσ’ εὖ ναιόμενον πτολίεθρον,speech
ἀλλὰ τὸ μὲν πλεῖον πολυάϊκος πολέμοιο,speech
χεῖρες ἐμαὶ διέπουσ’ ἀτὰρ ἤν ποτε δασμὸς ἵκηται,speech
σοὶ τὸ γέρας πολὺ μεῖζον ἐγὼ δ’ ὀλίγον τε φίλον τε,speech
ἔρχομ’ ἔχων ἐπὶ νῆας ἐπεί κε κάμω πολεμίζων,speech
νῦν δ’ εἶμι Φθίην δ’ ἐπεὶ ἦ πολὺ φέρτερόν ἐστιν,speech
οἴκαδ’ ἴμεν σὺν νηυσὶ κορωνίσιν οὐδέ σ’ ὀΐω,speech
ἐνθάδ’ ἄτιμος ἐὼν ἄφενος καὶ πλοῦτον ἀφύξειν,speech
τὸν δ’ ἠμείβετ’ ἔπειτα ἄναξ ἀνδρῶν Ἀγαμέμνων,narrative
φεῦγε μάλ’ εἴ τοι θυμὸς ἐπέσσυται οὐδέ σ’ ἔγωγε,speech
λίσσομαι εἵνεκ’ ἐμεῖο μένειν πάρ’ ἔμοιγε καὶ ἄλλοι,speech
οἵ κέ με τιμήσουσι μάλιστα δὲ μητίετα Ζεύς,speech
ἔχθιστος δέ μοί ἐσσι διοτρεφέων βασιλήων,speech
αἰεὶ γάρ τοι ἔρις τε φίλη πόλεμοί τε μάχαι τε,speech
εἰ μάλα καρτερός ἐσσι θεός που σοὶ τό γ’ ἔδωκεν,speech
οἴκαδ’ ἰὼν σὺν νηυσί τε σῇς καὶ σοῖς ἑτάροισι,speech
Μυρμιδόνεσσιν ἄνασσε σέθεν δ’ ἐγὼ οὐκ ἀλεγίζω,speech
οὐδ’ ὄθομαι κοτέοντος ἀπειλήσω δέ τοι ὧδε,speech
ὡς ἔμ’ ἀφαιρεῖται Χρυσηΐδα Φοῖβος Ἀπόλλων,speech
τὴν μὲν ἐγὼ σὺν νηΐ τ’ ἐμῇ καὶ ἐμοῖς ἑτάροισι,speech
πέμψω ἐγὼ δέ κ’ ἄγω Βρισηΐδα καλλιπάρῃον,speech
αὐτὸς ἰὼν κλισίην δὲ τὸ σὸν γέρας ὄφρ’ ἐῢ εἰδῇς,speech
ὅσσον φέρτερός εἰμι σέθεν στυγέῃ δὲ καὶ ἄλλος,speech
ἶσον ἐμοὶ φάσθαι καὶ ὁμοιωθήμεναι ἄντην,speech
ὣς φάτο Πηλεΐωνι δ’ ἄχος γένετ’ ἐν δέ οἱ ἦτορ,narrative
στήθεσσιν λασίοισι διάνδιχα μερμήριξεν,narrative
ἢ ὅ γε φάσγανον ὀξὺ ἐρυσσάμενος παρὰ μηροῦ,narrative
τοὺς μὲν ἀναστήσειεν ὃ δ’ Ἀτρεΐδην ἐναρίζοι,narrative
ἦε χόλον παύσειεν ἐρητύσειέ τε θυμόν,narrative
ἧος ὃ ταῦθ’ ὥρμαινε κατὰ φρένα καὶ κατὰ θυμόν,narrative
ἕλκετο δ’ ἐκ κολεοῖο μέγα ξίφος ἦλθε δ’ Ἀθήνη,narrative
οὐρανόθεν πρὸ γὰρ ἧκε θεὰ λευκώλενος Ἥρη,narrative
ἄμφω ὁμῶς θυμῷ φιλέουσά τε κηδομένη τε,narrative
στῆ δ’ ὄπιθεν ξανθῆς δὲ κόμης ἕλε Πηλεΐωνα,narrative
οἴῳ φαινομένη τῶν δ’ ἄλλων οὔ τις ὁρᾶτο,narrative
θάμβησεν δ’ Ἀχιλεύς μετὰ δ’ ἐτράπετ’ αὐτίκα δ’ ἔγνω,narrative
Παλλάδ’ Ἀθηναίην δεινὼ δέ οἱ ὄσσε φάανθεν,narrative
καί μιν φωνήσας ἔπεα πτερόεντα προσηύδα,narrative
τίπτ’ αὖτ’ αἰγιόχοιο Διὸς τέκος εἰλήλουθας,speech
ἦ ἵνα ὕβριν ἴδῃ Ἀγαμέμνονος Ἀτρεΐδαο,speech
ἀλλ’ ἔκ τοι ἐρέω τὸ δὲ καὶ τελέεσθαι ὀΐω,speech
ᾗς ὑπεροπλίῃσι τάχ’ ἄν ποτε θυμὸν ὀλέσσῃ,speech
τὸν δ’ αὖτε προσέειπε θεὰ γλαυκῶπις Ἀθήνη,narrative
ἦλθον ἐγὼ παύσουσα τὸ σὸν μένος αἴ κε πίθηαι,speech
οὐρανόθεν πρὸ δέ μ’ ἧκε θεὰ λευκώλενος Ἥρη,speech
ἄμφω ὁμῶς θυμῷ φιλέουσά τε κηδομένη τε,speech
ἀλλ’ ἄγε λῆγ’ ἔριδος μηδὲ ξίφος ἕλκεο χειρί,speech
ἀλλ’ ἤτοι ἔπεσιν μὲν ὀνείδισον ὡς ἔσεταί περ,speech
ὧδε γὰρ ἐξερέω τὸ δὲ καὶ τετελεσμένον ἔσται,speech
καί ποτέ τοι τρὶς τόσσα παρέσσεται ἀγλαὰ δῶρα,speech
ὕβριος εἵνεκα τῆσδε σὺ δ’ ἴσχεο πείθεο δ’ ἡμῖν,speech
τὴν δ’ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς,narrative
χρὴ μὲν σφωΐτερόν γε θεὰ ἔπος εἰρύσσασθαι,speech
καὶ μάλα περ θυμῷ κεχολωμένον ὧς γὰρ ἄμεινον,speech
ὅς κε θεοῖς ἐπιπείθηται μάλα τ’ ἔκλυον αὐτοῦ,speech
ἦ καὶ ἐπ’ ἀργυρέῃ κώπῃ σχέθε χεῖρα βαρεῖαν,narrative
ἂψ δ’ ἐς κουλεὸν ὦσε μέγα ξίφος οὐδ’ ἀπίθησε,narrative
μύθῳ Ἀθηναίης ἣ δ’ Οὔλυμπον δὲ βεβήκει,narrative
δώματ’ ἐς αἰγιόχοιο Διὸς μετὰ δαίμονας ἄλλους,narrative
Πηλεΐδης δ’ ἐξαῦτις ἀταρτηροῖς ἐπέεσσιν,narrative
Ἀτρεΐδην προσέειπε καὶ οὔ πω λῆγε χόλοιο,narrative
οἰνοβαρές κυνὸς ὄμματ’ ἔχων κραδίην δ’ ἐλάφοιο,speech
οὔτέ ποτ’ ἐς πόλεμον ἅμα λαῷ θωρηχθῆναι,speech
οὔτε λόχον δ’ ἰέναι σὺν ἀριστήεσσιν Ἀχαιῶν,speech
τέτληκας θυμῷ τὸ δέ τοι κὴρ εἴδεται εἶναι,speech
ἦ πολὺ λώϊόν ἐστι κατὰ στρατὸν εὐρὺν Ἀχαιῶν,speech
δῶρ’ ἀποαιρεῖσθαι ὅς τις σέθεν ἀντίον εἴπῃ,speech
δημοβόρος βασιλεὺς ἐπεὶ οὐτιδανοῖσιν ἀνάσσεις,speech
ἦ γὰρ ἂν Ἀτρεΐδη νῦν ὕστατα λωβήσαιο,speech
ἀλλ’ ἔκ τοι ἐρέω καὶ ἐπὶ μέγαν ὅρκον ὀμοῦμαι,speech
ναὶ μὰ τόδε σκῆπτρον τὸ μὲν οὔ ποτε φύλλα καὶ ὄζους,speech
φύσει ἐπεὶ δὴ πρῶτα τομὴν ἐν ὄρεσσι λέλοιπεν,speech
οὐδ’ ἀναθηλήσει περὶ γάρ ῥά ἑ χαλκὸς ἔλεψε,speech
φύλλά τε καὶ φλοιόν νῦν αὖτέ μιν υἷες Ἀχαιῶν,speech
ἐν παλάμῃς φορέουσι δικασπόλοι οἵ τε θέμιστας,speech
πρὸς Διὸς εἰρύαται ὃ δέ τοι μέγας ἔσσεται ὅρκος,speech
ἦ ποτ’ Ἀχιλλῆος ποθὴ ἵξεται υἷας Ἀχαιῶν,speech
σύμπαντας τότε δ’ οὔ τι δυνήσεαι ἀχνύμενός περ,speech
χραισμεῖν εὖτ’ ἂν πολλοὶ ὑφ’ Ἕκτορος ἀνδροφόνοιο,speech
θνήσκοντες πίπτωσι σὺ δ’ ἔνδοθι θυμὸν ἀμύξεις,speech
χωόμενος ὅ τ’ ἄριστον Ἀχαιῶν οὐδὲν ἔτισας,speech
ὣς φάτο Πηλεΐδης ποτὶ δὲ σκῆπτρον βάλε γαίῃ,narrative
χρυσείοις ἥλοισι πεπαρμένον ἕζετο δ’ αὐτός,narrative
Ἀτρεΐδης δ’ ἑτέρωθεν ἐμήνιε τοῖσι δὲ Νέστωρ,narrative
ἡδυεπὴς ἀνόρουσε λιγὺς Πυλίων ἀγορητής,narrative
τοῦ καὶ ἀπὸ γλώσσης μέλιτος γλυκίων ῥέεν αὐδή,narrative
τῷ δ’ ἤδη δύο μὲν γενεαὶ μερόπων ἀνθρώπων,narrative
ἐφθίαθ’ οἵ οἱ πρόσθεν ἅμα τράφεν ἠδ’ ἐγένοντο,narrative
ἐν Πύλῳ ἠγαθέῃ μετὰ δὲ τριτάτοισιν ἄνασσεν,narrative
ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν,narrative
ὦ πόποι ἦ μέγα πένθος Ἀχαιΐδα γαῖαν ἱκάνει,speech
ἦ κεν γηθήσαι Πρίαμος Πριάμοιό τε παῖδες,speech
ἄλλοι τε Τρῶες μέγα κεν κεχαροίατο θυμῷ,speech
εἰ σφῶϊν τάδε πάντα πυθοίατο μαρναμένοιϊν,speech
οἳ περὶ μὲν βουλὴν Δαναῶν περὶ δ’ ἐστὲ μάχεσθαι,speech
ἀλλὰ πίθεσθ’ ἄμφω δὲ νεωτέρω ἐστὸν ἐμεῖο,speech
ἤδη γάρ ποτ’ ἐγὼ καὶ ἀρείοσιν ἠέ περ ὑμῖν,speech
ἀνδράσιν ὡμίλησα καὶ οὔ ποτέ μ’ οἵ γ’ ἀθέριζον,speech
οὐ γάρ πω τοίους ἴδον ἀνέρας οὐδὲ ἴδωμαι,speech
οἷον Πειρίθοόν τε Δρύαντά τε ποιμένα λαῶν,speech
Καινέα τ’ Ἐξάδιόν τε καὶ ἀντίθεον Πολύφημον,speech
Θησέα τ’ Αἰγεΐδην ἐπιείκελον ἀθανάτοισιν,speech
κάρτιστοι δὴ κεῖνοι ἐπιχθονίων τράφεν ἀνδρῶν,speech
κάρτιστοι μὲν ἔσαν καὶ καρτίστοις ἐμάχοντο,speech
φηρσὶν ὀρεσκῴοισι καὶ ἐκπάγλως ἀπόλεσσαν,speech
καὶ μὲν τοῖσιν ἐγὼ μεθομίλεον ἐκ Πύλου ἐλθὼν,speech
τηλόθεν ἐξ ἀπίης γαίης καλέσαντο γὰρ αὐτοί,speech
καὶ μαχόμην κατ’ ἔμ’ αὐτὸν ἐγώ κείνοισι δ’ ἂν οὔ τις,speech
τῶν οἳ νῦν βροτοί εἰσιν ἐπιχθόνιοι μαχέοιτο,speech
καὶ μέν μευ βουλέων ξύνιεν πείθοντό τε μύθῳ,speech
ἀλλὰ πίθεσθε καὶ ὔμμες ἐπεὶ πείθεσθαι ἄμεινον,speech
μήτε σὺ τόνδ’ ἀγαθός περ ἐὼν ἀποαίρεο κούρην,speech
ἀλλ’ ἔα ὥς οἱ πρῶτα δόσαν γέρας υἷες Ἀχαιῶν,speech
μήτε σὺ Πηλείδη ἔθελ’ ἐριζέμεναι βασιλῆϊ,speech
ἀντιβίην ἐπεὶ οὔ ποθ’ ὁμοίης ἔμμορε τιμῆς,speech
σκηπτοῦχος βασιλεύς ᾧ τε Ζεὺς κῦδος ἔδωκεν,speech
εἰ δὲ σὺ καρτερός ἐσσι θεὰ δέ σε γείνατο μήτηρ,speech
ἀλλ’ ὅ γε φέρτερός ἐστιν ἐπεὶ πλεόνεσσιν ἀνάσσει,speech
Ἀτρεΐδη σὺ δὲ παῦε τεὸν μένος αὐτὰρ ἔγωγε,speech
λίσσομ’ Ἀχιλλῆϊ μεθέμεν χόλον ὃς μέγα πᾶσιν,speech
ἕρκος Ἀχαιοῖσιν πέλεται πολέμοιο κακοῖο,speech
τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων,narrative
ναὶ δὴ ταῦτά γε πάντα γέρον κατὰ μοῖραν ἔειπες,speech
ἀλλ’ ὅδ’ ἀνὴρ ἐθέλει περὶ πάντων ἔμμεναι ἄλλων,speech
