text,register
τριχθά τε καὶ τετραχθὰ διέσχισεν ἲς ἀνέμοιο,speech
καὶ τὰ μὲν ἐς νῆας κάθεμεν δείσαντες ὄλεθρον,speech
αὐτὰς δ’ ἐσσυμένως προερέσσαμεν ἤπειρόνδε,speech
ἔνθα δύω νύκτας δύο τ’ ἤματα συνεχὲς αἰεὶ,speech
κείμεθ’ ὁμοῦ καμάτῳ τε καὶ ἄλγεσι θυμὸν ἔδοντες,speech
ἀλλ’ ὅτε δὴ τρίτον ἦμαρ ἐυπλόκαμος τέλεσ’ Ἠώς,speech
ἱστοὺς στησάμενοι ἀνά θ’ ἱστία λεύκ’ ἐρύσαντες,speech
ἥμεθα τὰς δ’ ἄνεμός τε κυβερνῆταί τ’ ἴθυνον,speech
καί νύ κεν ἀσκηθὴς ἱκόμην ἐς πατρίδα γαῖαν,speech
ἀλλά με κῦμα ῥόος τε περιγνάμπτοντα Μάλειαν,speech
καὶ Βορέης ἀπέωσε παρέπλαγξεν δὲ Κυθήρων,speech
ἔνθεν δ’ ἐννῆμαρ φερόμην ὀλοοῖς ἀνέμοισιν,speech
πόντον ἐπ’ ἰχθυόεντα ἀτὰρ δεκάτῃ ἐπέβημεν,speech
γαίης Λωτοφάγων οἵ τ’ ἄνθινον εἶδαρ ἔδουσιν,speech
ἔνθα δ’ ἐπ’ ἠπείρου βῆμεν καὶ ἀφυσσάμεθ’ ὕδωρ,speech
αἶψα δὲ δεῖπνον ἕλοντο θοῇς παρὰ νηυσὶν ἑταῖροι,speech
αὐτὰρ ἐπεὶ σίτοιό τ’ ἐπασσάμεθ’ ἠδὲ ποτῆτος,speech
δὴ τοτ’ ἐγὼν ἑτάρους προΐειν πεύθεσθαι ἰόντας,speech
οἵ τινες ἀνέρες εἶεν ἐπὶ χθονὶ σῖτον ἔδοντες,speech
ἄνδρε δύω κρίνας τρίτατον κήρυχ’ ἅμ’ ὀπάσσας,speech
οἱ δ’ αἶψ’ οἰχόμενοι μίγεν ἀνδράσι Λωτοφάγοισιν,speech
οὐδ’ ἄρα Λωτοφάγοι μήδονθ’ ἑτάροισιν ὄλεθρον,speech
ἡμετέροις ἀλλά σφι δόσαν λωτοῖο πάσασθαι,speech
τῶν δ’ ὅς τις λωτοῖο φάγοι μελιηδέα καρπόν,speech
οὐκέτ’ ἀπαγγεῖλαι πάλιν ἤθελεν οὐδὲ νέεσθαι,speech
ἀλλ’ αὐτοῦ βούλοντο μετ’ ἀνδράσι Λωτοφάγοισι,speech
λωτὸν ἐρεπτόμενοι μενέμεν νόστου τε λαθέσθαι,speech
τοὺς μὲν ἐγὼν ἐπὶ νῆας ἄγον κλαίοντας ἀνάγκῃ,speech
νηυσὶ δ’ ἐνὶ γλαφυρῇσιν ὑπὸ ζυγὰ δῆσα ἐρύσσας,speech
αὐτὰρ τοὺς ἄλλους κελόμην ἐρίηρας ἑταίρους,speech
σπερχομένους νηῶν ἐπιβαινέμεν ὠκειάων,speech
μή πώς τις λωτοῖο φαγὼν νόστοιο λάθηται,speech
οἱ δ’ αἶψ’ εἴσβαινον καὶ ἐπὶ κληῖσι καθῖζον,speech
ἑξῆς δ’ ἑζόμενοι πολιὴν ἅλα τύπτον ἐρετμοῖς,speech
ἔνθεν δὲ προτέρω πλέομεν ἀκαχήμενοι ἦτορ,speech
Κυκλώπων δ’ ἐς γαῖαν ὑπερφιάλων ἀθεμίστων,speech
ἱκόμεθ’ οἵ ῥα θεοῖσι πεποιθότες ἀθανάτοισιν,speech
οὔτε φυτεύουσιν χερσὶν φυτὸν οὔτ’ ἀρόωσιν,speech
ἀλλὰ τά γ’ ἄσπαρτα καὶ ἀνήροτα πάντα φύονται,speech
πυροὶ καὶ κριθαὶ ἠδ’ ἄμπελοι αἵ τε φέρουσιν,speech
οἶνον ἐριστάφυλον καί σφιν Διὸς ὄμβρος ἀέξει,speech
τοῖσιν δ’ οὔτ’ ἀγοραὶ βουληφόροι οὔτε θέμιστες,speech
ἀλλ’ οἵ γ’ ὑψηλῶν ὀρέων ναίουσι κάρηνα,speech
ἐν σπέσσι γλαφυροῖσι θεμιστεύει δὲ ἕκαστος,speech
παίδων ἠδ’ ἀλόχων οὐδ’ ἀλλήλων ἀλέγουσιν,speech
νῆσος ἔπειτα λάχεια παρὲκ λιμένος τετάνυσται,speech
γαίης Κυκλώπων οὔ τε σχεδὸν οὔ τ’ ἀποτηλοῦ,speech
ὑλήεσσ’ ἐν δ’ αἶγες ἀπειρέσιαι γεγάασιν,speech
ἄγριαι οὐ μὲν γὰρ πάτος ἀνθρώπων ἀπερύκει,speech
οὐδέ μιν εἰσοιχνεῦσι κυνηγέται οἵ τε καθ’ ὕλην,speech
ἄλγεα πάσχουσιν κορυφὰς ὀρέων ἐφέποντες,speech
οὔτ’ ἄρα ποίμνῃσιν καταΐσχεται οὔτ’ ἀρότοισιν,speech
ἀλλ’ ἥ γ’ ἄσπαρτος καὶ ἀνήροτος ἤματα πάντα,speech
ἀνδρῶν χηρεύει βόσκει δέ τε μηκάδας αἶγας,speech
οὐ γὰρ Κυκλώπεσσι νέες πάρα μιλτοπάρῃοι,speech
οὐδ’ ἄνδρες νηῶν ἔνι τέκτονες οἵ κε κάμοιεν,speech
νῆας ἐυσσέλμους αἵ κεν τελέοιεν ἕκαστα,speech
ἄστε’ ἐπ’ ἀνθρώπων ἱκνεύμεναι οἷά τε πολλὰ,speech
ἄνδρες ἐπ’ ἀλλήλους νηυσὶν περόωσι θάλασσαν,speech
οἵ κέ σφιν καὶ νῆσον ἐυκτιμένην ἐκάμοντο,speech
οὐ μὲν γάρ τι κακή γε φέροι δέ κεν ὥρια πάντα,speech
ἐν μὲν γὰρ λειμῶνες ἁλὸς πολιοῖο παρ’ ὄχθας,speech
ὑδρηλοὶ μαλακοί μάλα κ’ ἄφθιτοι ἄμπελοι εἶεν,speech
ἐν δ’ ἄροσις λείη μάλα κεν βαθὺ λήιον αἰεὶ,speech
εἰς ὥρας ἀμῷεν ἐπεὶ μάλα πῖαρ ὑπ’ οὖδας,speech
ἐν δὲ λιμὴν ἐύορμος ἵν’ οὐ χρεὼ πείσματός ἐστιν,speech
οὔτ’ εὐνὰς βαλέειν οὔτε πρυμνήσι’ ἀνάψαι,speech
ἀλλ’ ἐπικέλσαντας μεῖναι χρόνον εἰς ὅ κε ναυτέων,speech
θυμὸς ἐποτρύνῃ καὶ ἐπιπνεύσωσιν ἀῆται,speech
αὐτὰρ ἐπὶ κρατὸς λιμένος ῥέει ἀγλαὸν ὕδωρ,speech
κρήνη ὑπὸ σπείους περὶ δ’ αἴγειροι πεφύασιν,speech
ἔνθα κατεπλέομεν καί τις θεὸς ἡγεμόνευεν,speech
νύκτα δι’ ὀρφναίην οὐδὲ προυφαίνετ’ ἰδέσθαι,speech
ἀὴρ γὰρ περὶ νηυσὶ βαθεῖ’ ἦν οὐδὲ σελήνη,speech
οὐρανόθεν προύφαινε κατείχετο δὲ νεφέεσσιν,speech
ἔνθ’ οὔ τις τὴν νῆσον ἐσέδρακεν ὀφθαλμοῖσιν,speech
οὔτ’ οὖν κύματα μακρὰ κυλινδόμενα προτὶ χέρσον,speech
εἰσίδομεν πρὶν νῆας ἐυσσέλμους ἐπικέλσαι,speech
κελσάσῃσι δὲ νηυσὶ καθείλομεν ἱστία πάντα,speech
ἐκ δὲ καὶ αὐτοὶ βῆμεν ἐπὶ ῥηγμῖνι θαλάσσης,speech
ἔνθα δ’ ἀποβρίξαντες ἐμείναμεν Ἠῶ δῖαν,speech
ἦμος δ’ ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς,speech
νῆσον θαυμάζοντες ἐδινεόμεσθα κατ’ αὐτήν,speech
ὦρσαν δὲ νύμφαι κοῦραι Διὸς αἰγιόχοιο,speech
αἶγας ὀρεσκῴους ἵνα δειπνήσειαν ἑταῖροι,speech
αὐτίκα καμπύλα τόξα καὶ αἰγανέας δολιχαύλους,speech
εἱλόμεθ’ ἐκ νηῶν διὰ δὲ τρίχα κοσμηθέντες,speech
βάλλομεν αἶψα δ’ ἔδωκε θεὸς μενοεικέα θήρην,speech
νῆες μέν μοι ἕποντο δυώδεκα ἐς δὲ ἑκάστην,speech
ἐννέα λάγχανον αἶγες ἐμοὶ δὲ δέκ’ ἔξελον οἴῳ,speech
ὣς τότε μὲν πρόπαν ἦμαρ ἐς ἠέλιον καταδύντα,speech
ἥμεθα δαινύμενοι κρέα τ’ ἄσπετα καὶ μέθυ ἡδύ,speech
οὐ γάρ πω νηῶν ἐξέφθιτο οἶνος ἐρυθρός,speech
ἀλλ’ ἐνέην πολλὸν γὰρ ἐν ἀμφιφορεῦσιν ἕκαστοι,speech
ἠφύσαμεν Κικόνων ἱερὸν πτολίεθρον ἑλόντες,speech
Κυκλώπων δ’ ἐς γαῖαν ἐλεύσσομεν ἐγγὺς ἐόντων,speech
καπνόν τ’ αὐτῶν τε φθογγὴν ὀίων τε καὶ αἰγῶν,speech
ἦμος δ’ ἠέλιος κατέδυ καὶ ἐπὶ κνέφας ἦλθε,speech
δὴ τότε κοιμήθημεν ἐπὶ ῥηγμῖνι θαλάσσης,speech
ἦμος δ’ ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς,speech
καὶ τότ’ ἐγὼν ἀγορὴν θέμενος μετὰ πᾶσιν ἔειπον,speech
ἄλλοι μὲν νῦν μίμνετ’ ἐμοὶ ἐρίηρες ἑταῖροι,speech
αὐτὰρ ἐγὼ σὺν νηί τ’ ἐμῇ καὶ ἐμοῖς ἑτάροισιν,speech
ἐλθὼν τῶνδ’ ἀνδρῶν πειρήσομαι οἵ τινές εἰσιν,speech
ἤ ῥ’ οἵ γ’ ὑβρισταί τε καὶ ἄγριοι οὐδὲ δίκαιοι,speech
ἦε φιλόξεινοι καί σφιν νόος ἐστὶ θεουδής,speech
ὣς εἰπὼν ἀνὰ νηὸς ἔβην ἐκέλευσα δ’ ἑταίρους,speech
αὐτούς τ’ ἀμβαίνειν ἀνά τε πρυμνήσια λῦσαι,speech
οἱ δ’ αἶψ’ εἴσβαινον καὶ ἐπὶ κληῖσι καθῖζον,speech
ἑξῆς δ’ ἑζόμενοι πολιὴν ἅλα τύπτον ἐρετμοῖς,speech
ἀλλ’ ὅτε δὴ τὸν χῶρον ἀφικόμεθ’ ἐγγὺς ἐόντα,speech
ἔνθα δ’ ἐπ’ ἐσχατιῇ σπέος εἴδομεν ἄγχι θαλάσσης,speech
ὑψηλόν δάφνῃσι κατηρεφές ἔνθα δὲ πολλὰ,speech
μῆλ’ ὄιές τε καὶ αἶγες ἰαύεσκον περὶ δ’ αὐλὴ,speech
ὑψηλὴ δέδμητο κατωρυχέεσσι λίθοισι,speech
μακρῇσίν τε πίτυσσιν ἰδὲ δρυσὶν ὑψικόμοισιν,speech
ἔνθα δ’ ἀνὴρ ἐνίαυε πελώριος ὅς ῥα τὰ μῆλα,speech
οἶος ποιμαίνεσκεν ἀπόπροθεν οὐδὲ μετ’ ἄλλους,speech
πωλεῖτ’ ἀλλ’ ἀπάνευθεν ἐὼν ἀθεμίστια ᾔδη,speech
καὶ γὰρ θαῦμ’ ἐτέτυκτο πελώριον οὐδὲ ἐῴκει,speech
ἀνδρί γε σιτοφάγῳ ἀλλὰ ῥίῳ ὑλήεντι,speech
ὑψηλῶν ὀρέων ὅ τε φαίνεται οἶον ἀπ’ ἄλλων,speech
δὴ τότε τοὺς ἄλλους κελόμην ἐρίηρας ἑταίρους,speech
αὐτοῦ πὰρ νηί τε μένειν καὶ νῆα ἔρυσθαι,speech
αὐτὰρ ἐγὼ κρίνας ἑτάρων δυοκαίδεκ’ ἀρίστους,speech
βῆν ἀτὰρ αἴγεον ἀσκὸν ἔχον μέλανος οἴνοιο,speech
ἡδέος ὅν μοι ἔδωκε Μάρων Εὐάνθεος υἱός,speech
ἱρεὺς Ἀπόλλωνος ὃς Ἴσμαρον ἀμφιβεβήκει,speech
οὕνεκά μιν σὺν παιδὶ περισχόμεθ’ ἠδὲ γυναικὶ,speech
ἁζόμενοι ᾤκει γὰρ ἐν ἄλσεϊ δενδρήεντι,speech
Φοίβου Ἀπόλλωνος ὁ δέ μοι πόρεν ἀγλαὰ δῶρα,speech
χρυσοῦ μέν μοι ἔδωκ’ ἐυεργέος ἑπτὰ τάλαντα,speech
δῶκε δέ μοι κρητῆρα πανάργυρον αὐτὰρ ἔπειτα,speech
οἶνον ἐν ἀμφιφορεῦσι δυώδεκα πᾶσιν ἀφύσσας,speech
ἡδὺν ἀκηράσιον θεῖον ποτόν οὐδέ τις αὐτὸν,speech
ἠείδη δμώων οὐδ’ ἀμφιπόλων ἐνὶ οἴκῳ,speech
ἀλλ’ αὐτὸς ἄλοχός τε φίλη ταμίη τε μί’ οἴη,speech
τὸν δ’ ὅτε πίνοιεν μελιηδέα οἶνον ἐρυθρόν,speech
ἓν δέπας ἐμπλήσας ὕδατος ἀνὰ εἴκοσι μέτρα,speech
χεῦ’ ὀδμὴ δ’ ἡδεῖα ἀπὸ κρητῆρος ὀδώδει,speech
θεσπεσίη τότ’ ἂν οὔ τοι ἀποσχέσθαι φίλον ἦεν,speech
τοῦ φέρον ἐμπλήσας ἀσκὸν μέγαν ἐν δὲ καὶ ᾖα,speech
κωρύκῳ αὐτίκα γάρ μοι ὀίσατο θυμὸς ἀγήνωρ,speech
ἄνδρ’ ἐπελεύσεσθαι μεγάλην ἐπιειμένον ἀλκήν,speech
ἄγριον οὔ τε δίκας ἐὺ εἰδότα οὔ τε θέμιστας,speech
καρπαλίμως δ’ εἰς ἄντρον ἀφικόμεθ’ οὐδέ μιν ἔνδον,speech
εὕρομεν ἀλλ’ ἐνόμευε νομὸν κάτα πίονα μῆλα,speech
ἐλθόντες δ’ εἰς ἄντρον ἐθηεύμεσθα ἕκαστα,speech
ταρσοὶ μὲν τυρῶν βρῖθον στείνοντο δὲ σηκοὶ,speech
ἀρνῶν ἠδ’ ἐρίφων διακεκριμέναι δὲ ἕκασται,speech
ἔρχατο χωρὶς μὲν πρόγονοι χωρὶς δὲ μέτασσαι,speech
χωρὶς δ’ αὖθ’ ἕρσαι ναῖον δ’ ὀρῷ ἄγγεα πάντα,speech
γαυλοί τε σκαφίδες τε τετυγμένα τοῖς ἐνάμελγεν,speech
ἔνθ’ ἐμὲ μὲν πρώτισθ’ ἕταροι λίσσοντ’ ἐπέεσσιν,speech
τυρῶν αἰνυμένους ἰέναι πάλιν αὐτὰρ ἔπειτα,speech
καρπαλίμως ἐπὶ νῆα θοὴν ἐρίφους τε καὶ ἄρνας,speech
σηκῶν ἐξελάσαντας ἐπιπλεῖν ἁλμυρὸν ὕδωρ,speech
ἀλλ’ ἐγὼ οὐ πιθόμην ἦ τ’ ἂν πολὺ κέρδιον ἦεν,speech
ὄφρ’ αὐτόν τε ἴδοιμι καὶ εἴ μοι ξείνια δοίη,speech
οὐδ’ ἄρ’ ἔμελλ’ ἑτάροισι φανεὶς ἐρατεινὸς ἔσεσθαι,speech
ἔνθα δὲ πῦρ κήαντες ἐθύσαμεν ἠδὲ καὶ αὐτοὶ,speech
τυρῶν αἰνύμενοι φάγομεν μένομέν τέ μιν ἔνδον,speech
ἥμενοι ἧος ἐπῆλθε νέμων φέρε δ’ ὄβριμον ἄχθος,speech
ὕλης ἀζαλέης ἵνα οἱ ποτιδόρπιον εἴη,speech
ἔντοσθεν δ’ ἄντροιο βαλὼν ὀρυμαγδὸν ἔθηκεν,speech
ἡμεῖς δὲ δείσαντες ἀπεσσύμεθ’ ἐς μυχὸν ἄντρου,speech
αὐτὰρ ὅ γ’ εἰς εὐρὺ σπέος ἤλασε πίονα μῆλα,speech
πάντα μάλ’ ὅσσ’ ἤμελγε τὰ δ’ ἄρσενα λεῖπε θύρηφιν,speech
ἀρνειούς τε τράγους τε βαθείης ἔκτοθεν αὐλῆς,speech
αὐτὰρ ἔπειτ’ ἐπέθηκε θυρεὸν μέγαν ὑψόσ’ ἀείρας,speech
ὄβριμον οὐκ ἂν τόν γε δύω καὶ εἴκοσ’ ἄμαξαι,speech
ἐσθλαὶ τετράκυκλοι ἀπ’ οὔδεος ὀχλίσσειαν,speech
τόσσην ἠλίβατον πέτρην ἐπέθηκε θύρῃσιν,speech
ἑζόμενος δ’ ἤμελγεν ὄις καὶ μηκάδας αἶγας,speech
πάντα κατὰ μοῖραν καὶ ὑπ’ ἔμβρυον ἧκεν ἑκάστῃ,speech
αὐτίκα δ’ ἥμισυ μὲν θρέψας λευκοῖο γάλακτος,speech
πλεκτοῖς ἐν ταλάροισιν ἀμησάμενος κατέθηκεν,speech
ἥμισυ δ’ αὖτ’ ἔστησεν ἐν ἄγγεσιν ὄφρα οἱ εἴη,speech
πίνειν αἰνυμένῳ καί οἱ ποτιδόρπιον εἴη,speech
αὐτὰρ ἐπεὶ δὴ σπεῦσε πονησάμενος τὰ ἃ ἔργα,speech
καὶ τότε πῦρ ἀνέκαιε καὶ εἴσιδεν εἴρετο δ’ ἡμέας,speech
ὦ ξεῖνοι τίνες ἐστέ πόθεν πλεῖθ’ ὑγρὰ κέλευθα,speech
ἦ τι κατὰ πρῆξιν ἦ μαψιδίως ἀλάλησθε,speech
οἷά τε ληιστῆρες ὑπεὶρ ἅλα τοί τ’ ἀλόωνται,speech
ψυχὰς παρθέμενοι κακὸν ἀλλοδαποῖσι φέροντες,speech
ὣς ἔφαθ’ ἡμῖν δ’ αὖτε κατεκλάσθη φίλον ἦτορ,speech
δεισάντων φθόγγον τε βαρὺν αὐτόν τε πέλωρον,speech
ἀλλὰ καὶ ὥς μιν ἔπεσσιν ἀμειβόμενος προσέειπον,speech
ἡμεῖς τοι Τροίηθεν ἀποπλαγχθέντες Ἀχαιοὶ,speech
παντοίοις ἀνέμοισιν ὑπὲρ μέγα λαῖτμα θαλάσσης,speech
οἴκαδε ἱέμενοι ἄλλην ὁδὸν ἄλλα κέλευθα,speech
ἤλθομεν οὕτω που Ζεὺς ἤθελε μητίσασθαι,speech
λαοὶ δ’ Ἀτρεΐδεω Ἀγαμέμνονος εὐχόμεθ’ εἶναι,speech
τοῦ δὴ νῦν γε μέγιστον ὑπουράνιον κλέος ἐστί,speech
τόσσην γὰρ διέπερσε πόλιν καὶ ἀπώλεσε λαοὺς,speech
πολλούς ἡμεῖς δ’ αὖτε κιχανόμενοι τὰ σὰ γοῦνα,speech
ἱκόμεθ’ εἴ τι πόροις ξεινήιον ἠὲ καὶ ἄλλως,speech
δοίης δωτίνην ἥ τε ξείνων θέμις ἐστίν,speech
ἀλλ’ αἰδεῖο φέριστε θεούς ἱκέται δέ τοί εἰμεν,speech
Ζεὺς δ’ ἐπιτιμήτωρ ἱκετάων τε ξείνων τε,speech
ξείνιος ὃς ξείνοισιν ἅμ’ αἰδοίοισιν ὀπηδεῖ,speech
ὣς ἐφάμην ὁ δέ μ’ αὐτίκ’ ἀμείβετο νηλέι θυμῷ,speech
νήπιός εἰς ὦ ξεῖν’ ἢ τηλόθεν εἰλήλουθας,speech
ὅς με θεοὺς κέλεαι ἢ δειδίμεν ἢ ἀλέασθαι,speech
οὐ γὰρ Κύκλωπες Διὸς αἰγιόχου ἀλέγουσιν,speech
οὐδὲ θεῶν μακάρων ἐπεὶ ἦ πολὺ φέρτεροί εἰμεν,speech
οὐδ’ ἂν ἐγὼ Διὸς ἔχθος ἀλευάμενος πεφιδοίμην,speech
οὔτε σεῦ οὔθ’ ἑτάρων εἰ μὴ θυμός με κελεύοι,speech
ἀλλά μοι εἴφ’ ὅπῃ ἔσχες ἰὼν ἐυεργέα νῆα,speech
ἤ που ἐπ’ ἐσχατιῆς ἦ καὶ σχεδόν ὄφρα δαείω,speech
ὣς φάτο πειράζων ἐμὲ δ’ οὐ λάθεν εἰδότα πολλά,speech
ἀλλά μιν ἄψορρον προσέφην δολίοις ἐπέεσσι,speech
νέα μέν μοι κατέαξε Ποσειδάων ἐνοσίχθων,speech
πρὸς πέτρῃσι βαλὼν ὑμῆς ἐπὶ πείρασι γαίης,speech
ἄκρῃ προσπελάσας ἄνεμος δ’ ἐκ πόντου ἔνεικεν,speech
αὐτὰρ ἐγὼ σὺν τοῖσδε ὑπέκφυγον αἰπὺν ὄλεθρον,speech
ὣς ἐφάμην ὁ δέ μ’ οὐδὲν ἀμείβετο νηλέι θυμῷ,speech
ἀλλ’ ὅ γ’ ἀναΐξας ἑτάροις ἐπὶ χεῖρας ἴαλλε,speech
σὺν δὲ δύω μάρψας ὥς τε σκύλακας ποτὶ γαίῃ,speech
κόπτ’ ἐκ δ’ ἐγκέφαλος χαμάδις ῥέε δεῦε δὲ γαῖαν,speech
τοὺς δὲ διὰ μελεϊστὶ ταμὼν ὡπλίσσατο δόρπον,speech
ἤσθιε δ’ ὥς τε λέων ὀρεσίτροφος οὐδ’ ἀπέλειπεν,speech
ἔγκατά τε σάρκας τε καὶ ὀστέα μυελόεντα,speech
ἡμεῖς δὲ κλαίοντες ἀνεσχέθομεν Διὶ χεῖρας,speech
σχέτλια ἔργ’ ὁρόωντες ἀμηχανίη δ’ ἔχε θυμόν,speech
αὐτὰρ ἐπεὶ Κύκλωψ μεγάλην ἐμπλήσατο νηδὺν,speech
ἀνδρόμεα κρέ’ ἔδων καὶ ἐπ’ ἄκρητον γάλα πίνων,speech
κεῖτ’ ἔντοσθ’ ἄντροιο τανυσσάμενος διὰ μήλων,speech
